Boston Properties Inc,BXP,Owen D. Thomas,http://investing.businessweek.com/research/stocks/people/person.asp?personId=1114726&capId=368278&previousCapId=368278&previousTitle=BOSTON%20PROPERTIES%20INC,04-10-2013,03-10-2014
Boston Scientific Corp,BSX,Michael F. Mahoney,http://investing.businessweek.com/research/stocks/people/person.asp?personId=62359136&capId=317627&previousCapId=317627&previousTitle=BOSTON%20SCIENTIFIC%20CORP,04-10-2013,03-10-2014
Bristol-Myers Squibb,BMY,Lamberto   Andreotti,http://investing.businessweek.com/research/stocks/people/person.asp?personId=3614457&capId=25798&previousCapId=25798&previousTitle=BRISTOL-MYERS%20SQUIBB%20CO,04-10-2013,03-10-2014
Broadcom Corp A,BRCM,Scott A. McGregor,http://investing.businessweek.com/research/stocks/people/person.asp?personId=7817632&capId=136333&previousCapId=136333&previousTitle=BROADCOM%20CORP-CL%20A,04-10-2013,03-10-2014
Brown-Forman Corp B,BF.B,Paul C. Varga,http://investing.businessweek.com/research/stocks/people/person.asp?personId=7223070&capId=256839&previousCapId=256839&previousTitle=BROWN-FORMAN%20CORP-CLASS%20B,04-10-2013,03-10-2014
CA Inc,CA,Michael P. Gregoire,http://investing.businessweek.com/research/stocks/people/person.asp?personId=5556814&capId=262913&previousCapId=262913&previousTitle=CA%20INC,04-10-2013,03-10-2014
Cablevision Systems Co A,CVC,James L. Dolan,http://investing.businessweek.com/research/stocks/people/person.asp?personId=172105&capId=61761808&previousCapId=25933&previousTitle=CABLEVISION%20SYSTEMS-NY%20GRP-A,04-10-2013,03-10-2014
Cabot Oil & Gas A,COG,Dan O. Dinges,http://investing.businessweek.com/research/stocks/people/person.asp?personId=292163&capId=258181&previousCapId=258181&previousTitle=CABOT%20OIL%20%26%20GAS%20CORP,04-10-2013,03-10-2014
Cameron International Corp,CAM,Jack B. Moore,http://investing.businessweek.com/research/stocks/people/person.asp?personId=5663834&capId=19839&previousCapId=19839&previousTitle=CAMERON%20INTERNATIONAL%20CORP,04-10-2013,03-10-2014
Campbell Soup Co,CPB,Denise M. Morrison,http://investing.businessweek.com/research/stocks/people/person.asp?personId=2763808&capId=258458&previousCapId=258458&previousTitle=CAMPBELL%20SOUP%20CO,04-10-2013,03-10-2014
Capital One Financial,COF,Richard D. Fairbank,http://investing.businessweek.com/research/stocks/people/person.asp?personId=336243&capId=336241&previousCapId=336241&previousTitle=CAPITAL%20ONE%20FINANCIAL%20CORP,04-10-2013,03-10-2014
Cardinal Health Inc,CAH,George S. Barrett,http://investing.businessweek.com/research/stocks/people/person.asp?personId=4950498&capId=172207&previousCapId=172207&previousTitle=CARDINAL%20HEALTH%20INC,04-10-2013,03-10-2014
CareFusion Corp.,CFN,Kieran T. Gallahue,http://investing.businessweek.com/research/stocks/people/person.asp?personId=226952&capId=49276069&previousCapId=49276069&previousTitle=CAREFUSION%20CORP,04-10-2013,03-10-2014
Carmax Inc,KMX,Thomas J. Folliard,http://investing.businessweek.com/research/stocks/people/person.asp?personId=356827&capId=356805&previousCapId=356805&previousTitle=CARMAX%20INC,04-10-2013,03-10-2014
Carnival Corp,CCL,Arnold W. Donald,http://investing.businessweek.com/research/stocks/people/person.asp?personId=115293&capId=258823&previousCapId=258823&previousTitle=CARNIVAL%20CORP,04-10-2013,03-10-2014
Caterpillar Inc,CAT,Douglas R. Oberhelman,http://investing.businessweek.com/research/stocks/people/person.asp?personId=259436&capId=259378&previousCapId=259378&previousTitle=CATERPILLAR%20INC,04-10-2013,03-10-2014
CBRE Group Inc.,CBG,Robert E. Sulentic,http://investing.businessweek.com/research/stocks/people/person.asp?personId=370061&capId=4204816&previousCapId=4204816&previousTitle=CBRE%20GROUP%20INC%20-%20A,04-10-2013,03-10-2014
CBS Corp B,CBS,Leslie   Moonves II,http://investing.businessweek.com/research/stocks/people/person.asp?personId=1103049&capId=27763231&previousCapId=27763231&previousTitle=CBS%20CORP-CLASS%20B%20NON%20VOTING,04-10-2013,03-10-2014
Celgene Corp,CELG,Robert J. Hugin MBA,http://investing.businessweek.com/research/stocks/people/person.asp?personId=258775&capId=258769&previousCapId=258769&previousTitle=CELGENE%20CORP,04-10-2013,03-10-2014
Centerpoint Energy Inc,CNP,Scott M. Prochazka,http://investing.businessweek.com/research/stocks/people/person.asp?personId=22370316&capId=279513&previousCapId=279513&previousTitle=CENTERPOINT%20ENERGY%20INC,04-10-2013,03-10-2014
CenturyLink Inc,CTL,Glen F. Post III,http://investing.businessweek.com/research/stocks/people/person.asp?personId=260153&capId=260149&previousCapId=260149&previousTitle=CENTURYLINK%20INC,04-10-2013,03-10-2014
Cerner Corp,CERN,Neal L. Patterson,http://investing.businessweek.com/research/stocks/people/person.asp?personId=259629&capId=259627&previousCapId=259627&previousTitle=CERNER%20CORP,04-10-2013,03-10-2014
CF Industries Holdings,CF,W. Anthony Will,http://investing.businessweek.com/research/stocks/people/person.asp?personId=33661203&capId=22357184&previousCapId=22357184&previousTitle=CF%20INDUSTRIES%20HOLDINGS%20INC,04-10-2013,03-10-2014
CH Robinson Worldwide Inc,CHRW,John P. Wiehoff,http://investing.businessweek.com/research/stocks/people/person.asp?personId=368474&capId=368470&previousCapId=368470&previousTitle=C.H.%20ROBINSON%20WORLDWIDE%20INC,04-10-2013,03-10-2014
Chesapeake Energy Corp,CHK,Robert Douglas Lawler,http://investing.businessweek.com/research/stocks/people/person.asp?personId=99610252&capId=323857&previousCapId=323857&previousTitle=CHESAPEAKE%20ENERGY%20CORP,04-10-2013,03-10-2014
Chevron Corp,CVX,John S. Watson,http://investing.businessweek.com/research/stocks/people/person.asp?personId=20462172&capId=98506&previousCapId=98506&previousTitle=CHEVRON%20CORP,04-10-2013,03-10-2014
Chipotle Mexican Grill Inc.,CMG,M. Steven Ells,http://investing.businessweek.com/research/stocks/people/person.asp?personId=4924463&capId=26446&previousCapId=26446&previousTitle=CHIPOTLE%20MEXICAN%20GRILL%20INC,04-10-2013,03-10-2014
Chubb Corp,CB,John D. Finnegan,http://investing.businessweek.com/research/stocks/people/person.asp?personId=177158&capId=261037&previousCapId=261037&previousTitle=CHUBB%20CORP,04-10-2013,03-10-2014
Cigna Corporation,CI,David M. Cordani,http://investing.businessweek.com/research/stocks/people/person.asp?personId=172945&capId=172899&previousCapId=172899&previousTitle=CIGNA%20CORP,04-10-2013,03-10-2014
Cincinnati Financial Corp,CINF,"Steven J. Johnston FCAS, MAAA, CFA",http://investing.businessweek.com/research/stocks/people/person.asp?personId=321998&capId=260681&previousCapId=260681&previousTitle=CINCINNATI%20FINANCIAL%20CORP,04-10-2013,03-10-2014
Cintas Corp,CTAS,Scott D. Farmer,http://investing.businessweek.com/research/stocks/people/person.asp?personId=260731&capId=260725&previousCapId=260725&previousTitle=CINTAS%20CORP,04-10-2013,03-10-2014
Cisco Systems Inc,CSCO,John T. Chambers,http://investing.businessweek.com/research/stocks/people/person.asp?personId=642553&capId=19691&previousCapId=19691&previousTitle=CISCO%20SYSTEMS%20INC,04-10-2013,03-10-2014
Citigroup Inc,C,Michael L. Corbat,http://investing.businessweek.com/research/stocks/people/person.asp?personId=27845305&capId=391687&previousCapId=391687&previousTitle=CITIGROUP%20INC,04-10-2013,03-10-2014
Citrix Systems Inc,CTXS,David James Henshall,http://investing.businessweek.com/research/stocks/people/person.asp?personId=2213924&capId=26524&previousCapId=26524&previousTitle=CITRIX%20SYSTEMS%20INC,04-10-2013,03-10-2014
Cliffs Natural Resources Inc,CLF,Gary Bernard Halverson,http://investing.businessweek.com/research/stocks/people/person.asp?personId=54686527&capId=261738&previousCapId=261738&previousTitle=CLIFFS%20NATURAL%20RESOURCES%20INC,04-10-2013,03-10-2014
Clorox Co,CLX,Donald R. Knauss,http://investing.businessweek.com/research/stocks/people/person.asp?personId=154400&capId=89450&previousCapId=89450&previousTitle=CLOROX%20COMPANY,04-10-2013,03-10-2014
CME Group Inc,CME,Phupinder S. Gill,http://investing.businessweek.com/research/stocks/people/person.asp?personId=3803683&capId=2004577&previousCapId=2004577&previousTitle=CME%20GROUP%20INC,04-10-2013,03-10-2014
CMS Energy Corp,CMS,John G. Russell,http://investing.businessweek.com/research/stocks/people/person.asp?personId=652553&capId=257682&previousCapId=257682&previousTitle=CMS%20ENERGY%20CORP,04-10-2013,03-10-2014
Coach Inc,COH,Victor   Luis,http://investing.businessweek.com/research/stocks/people/person.asp?personId=27063903&capId=526573&previousCapId=526573&previousTitle=COACH%20INC,04-10-2013,03-10-2014
Coca-Cola Co,KO,Muhtar   Kent,http://investing.businessweek.com/research/stocks/people/person.asp?personId=25036518&capId=26642&previousCapId=26642&previousTitle=COCA-COLA%20CO%2FTHE,04-10-2013,03-10-2014
Coca-Cola Enterprises,CCE,John Franklin Brock III,http://investing.businessweek.com/research/stocks/people/person.asp?personId=601008&capId=109130811&previousCapId=109130811&previousTitle=COCA-COLA%20ENTERPRISES,04-10-2013,03-10-2014
